"plz","name","email"
"73453","Abtsgmünd","info@abtsgmuend.de"
"38110","Braunschweig","bussgeldabteilung@braunschweig.de"
"38114","Braunschweig","bussgeldabteilung@braunschweig.de"
"38118","Braunschweig","bussgeldabteilung@braunschweig.de"
"38120","Braunschweig","bussgeldabteilung@braunschweig.de"
"38124","Braunschweig","bussgeldabteilung@braunschweig.de"
"71522","Backnang","rechts-ordnungsamt@backnang.de"
"38126","Braunschweig","bussgeldabteilung@braunschweig.de"
"40213","Düsseldorf","drittanzeige@duesseldorf.de"
"10405","Berlin","anzeige@bowi.berlin.de"
"40217","Düsseldorf","drittanzeige@duesseldorf.de"
"40219","Düsseldorf","drittanzeige@duesseldorf.de"
"40223","Düsseldorf","drittanzeige@duesseldorf.de"
"40225","Düsseldorf","drittanzeige@duesseldorf.de"
"40227","Düsseldorf","drittanzeige@duesseldorf.de"
"40233","Düsseldorf","drittanzeige@duesseldorf.de"
"12247","Berlin","anzeige@bowi.berlin.de"
"12249","Berlin","anzeige@bowi.berlin.de"
"40237","Düsseldorf","drittanzeige@duesseldorf.de"
"12355","Berlin","anzeige@bowi.berlin.de"
"40468","Düsseldorf","drittanzeige@duesseldorf.de"
"44267","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"48455","Bad Bentheim","hauptamt@stadt-badbentheim.de"
"52062","Aachen","fb32-120ruhenderverkehr@mail.aachen.de"
"88326","Aulendorf","info@aulendorf.de"
"40470","Düsseldorf","drittanzeige@duesseldorf.de"
"33014","Bad Driburg","info@bad-driburg.de"
"40472","Düsseldorf","drittanzeige@duesseldorf.de"
"40476","Düsseldorf","drittanzeige@duesseldorf.de"
"40477","Düsseldorf","drittanzeige@duesseldorf.de"
"40479","Düsseldorf","drittanzeige@duesseldorf.de"
"29549","Bad Bevensen","verwaltung@badbevensen.de"
"40545","Düsseldorf","drittanzeige@duesseldorf.de"
"40547","Düsseldorf","drittanzeige@duesseldorf.de"
"94072","Bad Füssing","info@badfuessing.de"
"37431","Bad Lauterberg im Harz","rathaus@stadt-badlauterberg.de"
"75378","Bad Liebenzell","stadt@bad-liebenzell.de"
"33175","Bad Lippspringe","info@bad-lippspringe.de"
"83435","Bad Reichenhall","claudia.metelka@stadt-bad-reichenhall.de"
"40549","Düsseldorf","drittanzeige@duesseldorf.de"
"78073","Bad Dürrheim","gvb@bad-duerrheim.de"
"49152","Bad Essen","info@badessen.de"
"97688","Bad Kissingen","ordnungsamt@stadt.badkissingen.de"
"40591","Düsseldorf","drittanzeige@duesseldorf.de"
"40593","Düsseldorf","drittanzeige@duesseldorf.de"
"40597","Düsseldorf","drittanzeige@duesseldorf.de"
"66750","Dillingen","stadt@dillingen-saar.de"
"52058","Aachen","fb32-120ruhenderverkehr@mail.aachen.de"
"23355","Barmstedt","info@barmstedt.de"
"40599","Düsseldorf","drittanzeige@duesseldorf.de"
"74906","Bad Rappenau","stadt@badrappenau.de"
"40625","Düsseldorf","drittanzeige@duesseldorf.de"
"40629","Düsseldorf","drittanzeige@duesseldorf.de"
"40235","Düsseldorf","drittanzeige@duesseldorf.de"
"40489","Düsseldorf","drittanzeige@duesseldorf.de"
"47051","Duisburg","drittanzeigen.verkehr@stadt-duisburg.de"
"40589","Düsseldorf","drittanzeige@duesseldorf.de"
"40595","Düsseldorf","drittanzeige@duesseldorf.de"
"24943","Flensburg","verkehrsueberwachung@flensburg.de"
"23611","Bad Schwartau","stadtverwaltung@bad-schwartau.de"
"18246","Bützow","doerte.stahlfast@buetzow.de"
"24937","Flensburg","verkehrsueberwachung@flensburg.de"
"97616","Bad Neustadt an der Saale","ordnungsamt@bad-neustadt.de"
"19258","Boizenburg","stadt@boizenburg.de"
"40627","Düsseldorf","drittanzeige@duesseldorf.de"
"72574","Bad Urach","stesel.eugen@bad-urach.de"
"76530","Baden-Baden","bussgeldbehoerde@baden-baden.de"
"10247","Berlin","anzeige@bowi.berlin.de"
"27432","Bremervörde","dieter.soellner@bremervoerde.de"
"24941","Flensburg","verkehrsueberwachung@flensburg.de"
"72270","Baiersbronn","info@gemeindebaiersbronn.de"
"21357","Bardowick","info@samtgemeinde-bardowick.de"
"24944","Flensburg","verkehrsueberwachung@flensburg.de"
"68782","Brühl","buergermeisteramt@bruehl-baden.de"
"47058","Duisburg","drittanzeigen.verkehr@stadt-duisburg.de"
"13189","Berlin","anzeige@bowi.berlin.de"
"21514","Buechen","ordnungsamt@gemeinde-buechen.de"
"06766","Bitterfeld-Wolfen","verkehrsowig@bitterfeld-wolfen.de"
"46395","Bocholt","ordnungsamt@bocholt.de"
"44797","Bochum","bussgeldstelle@bochum.de"
"46236","Bottrop","bussgeldstelle@bottrop.de"
"79206","Breisach am Rhein","ordnungsrecht@lkbh.de"
"28211","Bremen","anzeigen@ordnungsamt.bremen.de"
"38104","Braunschweig","bussgeldabteilung@braunschweig.de"
"38122","Braunschweig","bussgeldabteilung@braunschweig.de"
"74626","Bretzfeld","rathaus@bretzfeld.de"
"24229","Dänischenhagen","j.baeumer@amt-daenischenhagen.de"
"27755","Delmenhorst","anfragen.verkehr@delmenhorst.de"
"79848","Bonndorf im Schwarzwald","nikolaus.riesterer@bonndorf.de"
"78166","Donaueschingen","arno.ruf@donaueschingen.de"
"41540","Dormagen","verkehrsueberwachung@stadt-dormagen.de"
"44137","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44309","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44369","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"46446","Emmerich am Rhein","verkehr@stadt-emmerich.de"
"99097","Erfurt","buergeramt@erfurt.de"
"70794","Filderstadt","bussgeld@filderstadt.de"
"52599","Baesweiler","info@stadt.baesweiler.de"
"76441","Durmesheim","info@durmersheim.de"
"01127","Dresden","bgst-verkehr2@dresden.de"
"46539","Dinslaken","uwe.strewginski@dinslaken.de"
"31191","Algermissen","gemeinde@algermissen.de"
"90584","Allersberg","liegenschaften@allersberg.de"
"36304","Alsfeld","info@stadt.alsfeld.de"
"90518","Altdorf bei Nürnberg","stadt.altdorf@lau-net.de"
"84503","Altötting","rainer.steinbrecher@altoetting.de"
"12414","Berlin","anzeige@bowi.berlin.de"
"17087","Altentreptow","info@altentreptow.de"
"24161","Altenholz","gemeinde@altenholz.de"
"29303","Bergen","bussgeldstelle@lkcelle.de"
"37115","Duderstadt","verwarnungen@duderstadt.de"
"58762","Altena","post@altena.de"
"72213","Altensteig","info@altenstieg.de"
"95659","Arzberg (Oberfranken)","stadt@arzberg.de"
"84307","Eggenfelden","stefan.selingen@eggenfelden.de"
"33602","Bielefeld","bussgeldstelle@bielefeld.de"
"28205","Bremen","anzeigen@ordnungsamt.bremen.de"
"77767","Appenweier","gemeinde@appenweier.de"
"55257","Budenheim","info@budenheim.de"
"22926","Ahrensburg","owi-verkehrsaufsicht@ahrensburg.de"
"86551","Aichach","rathaus@aichach.de"
"71679","Asperg","gvd@asperg.de"
"69518","Abtsteinach","gemeinde@abtsteinach.de"
"77855","Achern","oeffentliche-ordnung@achern.de"
"74858","Aglasterhausen","michael.kraus@aglasterhausen.de"
"34292","Ahnatal","info@ahnatal.de"
"73430","Aalen","bussgeldstelle@aalen.de"
"28832","Achim (Landkreis Verden)","stadt@achim.de"
"53518","Adenau","vgadenau@adenau.de"
"23623","Ahrensbök","info@ahrensboek.de"
"72631","Aichtal","stadt@aichtal.de"
"71134","Aidlingen","poststelle@aidlingen.de"
"73486","Adelmannsfelden","gemeinde@adelmannsfelden.de"
"72458","Albstadt","bussgeldstelle@albstadt.de"
"35287","Amöneburg","m.tatzel@amoeneburg.de"
"83421","Bad Reichenhall","claudia.metelka@stadt-bad-reichenhall.de"
"31855","Aerzen","bussgeldstelle@hameln-pyrmont.de"
"86444","Affing","gemeinde@affing.de"
"35614","Aßlar","strassenverkehrsbehoerde@asslar.de"
"38271","Baddeckenstedt","info@baddeckenstedt.de"
"32105","Bad Salzuflen","ordnungsamt@bad-salzuflen.de"
"23795","Bad Segeberg","info@bad-segeberg.de"
"88410","Bad Wurzach","stadt@bad-wurzach.de"
"83646","Bad Tölz","wondrak@bad-toelz.de"
"72336","Balingen","stadt@balingen.de"
"96047","Bamberg","zbs-pued@stadt.bamberg.de"
"96049","Bamberg","zbs-pued@stadt.bamberg.de"
"96050","Bamberg","zbs-pued@stadt.bamberg.de"
"45121","Essen","verkehrsueberwachung@ordnungsamt.essen.de"
"96052","Bamberg","zbs-pued@stadt.bamberg.de"
"34225","Baunatal","ordnungsbehoerde@stadt-baunatal.de"
"83457","Bayerisch Gmain","gemeinde@bayerisch.gmain.de"
"95444","Bayreuth","verkehrsueberwachung@stadt.bayreuth.de"
"83735","Bayrischzell","verwaltung@bayrischzell.de"
"92339","Beilngries","info@beilngries.de"
"76756","Bellheim","verbandsgemeinde@vg-bellheim.de"
"49191","Belm","info@belm.de"
"50126","Bergheim","ruhenderverkehr@bergheim.de"
"85232","Bergkirchen","gemeinde@bergkirchen.de"
"10115","Berlin","anzeige@bowi.berlin.de"
"10117","Berlin","anzeige@bowi.berlin.de"
"88339","Bad Waldsee","c.klink@bad-waldsee.de"
"10715","Berlin","anzeige@bowi.berlin.de"
"79104","Freiburg im Breisgau","bussgeldbehoerde@stadt.freiburg.de"
"79102","Freiburg im Breisgau","bussgeldbehoerde@stadt.freiburg.de"
"79100","Freiburg im Breisgau","bussgeldbehoerde@stadt.freiburg.de"
"14053","Berlin","anzeige@bowi.berlin.de"
"14059","Berlin","anzeige@bowi.berlin.de"
"14109","Berlin","anzeige@bowi.berlin.de"
"14163","Berlin","anzeige@bowi.berlin.de"
"06406","Bernburg","stadt@bernburg.de"
"35444","Biebertal","ordnungsamt@biebertal.de"
"33604","Bielefeld","bussgeldstelle@bielefeld.de"
"75217","Birkenfeld","gerhard.bernard@birkenfeld-enzkreis.de"
"72406","Bisingen","info@bisingen.de"
"06808","Bitterfeld-Wolfen","verkehrsowig@bitterfeld-wolfen.de"
"89134","Blaustein","tobias.stetter@blaustein.de"
"86399","Bobingen","ordnungsamt@bobingen.de"
"71032","Böblingen","anzeigen-321@boeblingen.de"
"44787","Bochum","bussgeldstelle@bochum.de"
"44789","Bochum","bussgeldstelle@bochum.de"
"46325","Borken","ordnungsamt@borken.de"
"88396","Biberach an der Riß","bussgeldstelle@biberach-riss.de"
"73441","Bopfingen","infobopfingen@bopfingen.de"
"46242","Bottrop","bussgeldstelle@bottrop.de"
"74336","Brackenheim","info@brackenheim.de"
"38700","Braunlage","jan.mueller@stadt-braunlage.de"
"38100","Braunschweig","bussgeldabteilung@braunschweig.de"
"28195","Bremen","anzeigen@ordnungsamt.bremen.de"
"28197","Bremen","anzeigen@ordnungsamt.bremen.de"
"28203","Bremen","anzeigen@ordnungsamt.bremen.de"
"53117","Bonn","stvo@bonn.de"
"03046","Cottbus","ordnungsamt@cottbus.de"
"74177","Bad Friedrichshall","bussgeldstelle@friedrichshall.de"
"01640","Coswig","ordnungswesen@stadt.coswig.de"
"27570","Bremerhaven","buergerundordnungsamt@magistrat.bremerhaven.de"
"27576","Bremerhaven","buergerundordnungsamt@magistrat.bremerhaven.de"
"75015","Bretten","stadt@bretten.de"
"25541","Brunsbüttel","bussgeldstelle@dithmarschen.de"
"31675","Bückeburg","ordnungsamt@bueckeburg.de"
"56812","Cochem","strassenverkehrsbehoerde@vgcochem.de"
"72393","Burladingen","info@burladingen.de"
"21614","Buxtehude","fg32@stadt.buxtehude.de"
"21781","Cadenberge","zentrale@land.hadeln.de"
"34379","Calden","matthias.schoeps@calden.de"
"75365","Calw","bussgeldstelle@calw.de"
"44575","Castrop-Rauxel","bussgeldabteilung.b32@castrop-rauxel.de"
"38678","Clausthal-Zellerfeld","stadtverwaltung@clausthal-zellerfeld.de"
"24782","Buedelsdorf","buergerbuero@buedelsdorf.de"
"03042","Cottbus","ordnungsamt@cottbus.de"
"77806","Bühl","stadt@buehl.de"
"18245","Bützow","klaus.rambow@buetzow.de"
"41539","Dormagen","verkehrsueberwachung@stadt-dormagen.de"
"46282","Dorsten","ordnungsamt@dorsten.de"
"27472","Cuxhaven","info@cuxhaven.de"
"04720","Döbeln","owig@doebeln.de"
"66991","Dahn","info@dahner-felsenland.de"
"85221","Dachau","kvue@dachau.de"
"33129","Delbrück","info@stadt-delbrueck.de"
"73770","Denkendorf","t.steimle@denkendorf.de"
"79211","Denzlingen","bussgeldstelle@landkreis-emmendingen.de"
"06844","Dessau","ordnungsamt@dessau-rosslau.de"
"06847","Dessau","ordnungsamt@dessau-rosslau.de"
"06849","Dessau","ordnungsamt@dessau-rosslau.de"
"35683","Dillenburg","ordnungsbehoerde@dillenburg.de"
"46537","Dinslaken","uwe.strewginski@dinslaken.de"
"71254","Ditzingen","bussgeldstelle@ditzingen.de"
"26892","Dörpen","sibum@doerpen.de"
"73072","Donzdorf","stadt@donzdorf.de"
"46284","Dorsten","ordnungsamt@dorsten.de"
"44143","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44145","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44227","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44263","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44269","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44287","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44122","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"46536","Dinslaken","uwe.strewginski@dinslaken.de"
"35666","Dillenburg","ordnungsbehoerde@dillenburg.de"
"44328","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44329","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44357","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"44379","Dortmund","fremdanzeigen.verkehrsueberwachung@stadtdo.de"
"69221","Dossenheim","bussgeldstelle@dossenheim.de"
"21706","Drochtersen","info@luenstedt.net"
"85072","Eichstätt","poststelle@eichstaett.de"
"26931","Elsfleth","stadt@elsfleth.de"
"24340","Eckernförde","stadt@eckernfoerde.de"
"37269","Eschwege","rudi.berleth@eschwege-rathaus.de"
"40210","Düsseldorf","drittanzeige@duesseldorf.de"
"15732","Eichwalde","ordnungsamt@dahme-spreewald.de"
"16225","Eberswalde","ordnungsamt@eberswalde.de"
"29574","Ebstorf","info@ebstorf.de"
